"","NCBI.Taxon.ID","EntrezGene.ID","EntrezGene.ID.HUMAN"
"1",10090,11364,"34"
"3",10090,11370,"37"
"5",10090,110446,"38"
"7",10090,11477,"90"
"9",10090,20391,"6442"
"11",10090,11564,"158"
"13",10090,11593,"175"
"15",10090,11606,"183"
"17",10090,17025,"210"
"19",10090,11656,"212"
"21",10090,229665,"270"
"23",10090,11818,"350"
"25",10090,14102,"355"
"27",10090,11835,"367"
"29",10090,11846,"383"
"31",10090,109900,"435"
"33",10090,11484,"443"
"35",10090,11977,"538"
"37",10090,12040,"594"
"39",10090,12190,"675"
"41",10090,12258,"710"
"43",10090,12263,"717"
"45",10090,12274,"729"
"47",10090,110382,"732"
"49",10090,12335,"825"
"51",10090,12502,"917"
"53",10090,21947,"959"
"55",10090,11435,"1134"
"57",10090,11448,"1145"
"59",10090,17101,"1130"
"61",10090,71991,"1161"
"63",10090,12723,"1180"
"65",10090,12733,"1188"
"67",10090,12843,"1278"
"69",10090,12836,"1294"
"71",10090,12845,"1311"
"73",10090,12870,"1356"
"75",10090,12892,"1371"
"77",10090,12896,"1376"
"79",10090,13010,"1471"
"81",10090,13014,"1476"
"83",10090,13057,"1535"
"85",10090,107986,"1643"
"87",10090,13382,"1738"
"89",10090,99586,"1806"
"91",10090,13616,"1908"
"93",10090,13618,"1910"
"95",10090,13726,"2010"
"97",10090,13805,"2022"
"99",10090,13828,"2038"
"101",10090,13849,"2052"
"103",10090,13857,"2057"
"105",10090,13872,"2071"
"107",10090,110842,"2108"
"109",10090,14067,"2153"
"111",10090,14071,"2158"
"113",10090,14079,"2169"
"115",10090,14087,"2175"
"117",10090,14088,"2176"
"119",10090,14085,"2184"
"121",10090,14126,"2206"
"123",10090,14151,"2235"
"125",10090,14194,"2271"
"127",10090,14309,"2492"
"129",10090,66848,"2519"
"131",10090,14343,"2523"
"133",10090,14420,"2581"
"135",10090,14635,"2584"
"137",10090,14430,"2592"
"139",10090,74185,"2632"
"141",10090,270076,"2639"
"143",10090,14527,"2642"
"145",10090,14528,"2643"
"147",10090,14600,"2690"
"149",10090,14609,"2697"
"151",10090,14618,"2705"
"153",10090,14634,"2737"
"155",10090,104174,"2731"
"157",10090,110304,"8001"
"159",10090,14723,"2811"
"161",10090,54368,"2815"
"163",10090,14751,"2821"
"165",10090,227753,"2934"
"167",10090,14854,"2937"
"169",10090,17688,"2956"
"171",10090,97212,"3030"
"173",10090,231086,"3032"
"175",10090,15233,"3081"
"177",10090,15288,"3145"
"179",10090,15356,"3155"
"181",10090,21388,"6910"
"183",10090,192236,"3257"
"185",10090,27029,"6448"
"187",10090,15894,"3383"
"189",10090,15931,"3423"
"191",10090,15932,"3425"
"193",10090,12630,"3426"
"195",10090,16186,"3561"
"197",10090,16334,"3630"
"199",10090,18609,"3651"
"201",10090,192897,"3691"
"203",10090,16449,"182"
"205",10090,16453,"3718"
"207",10090,16485,"3736"
"209",10090,16509,"102723475"
"211",10090,16590,"3815"
"213",10090,268482,"3859"
"215",10090,16780,"3914"
"217",10090,16846,"3952"
"219",10090,24053,"6445"
"221",10090,24051,"6443"
"223",10090,16881,"3978"
"225",10090,15450,"3990"
"227",10090,16956,"4023"
"229",10090,16511,"3757"
"231",10090,17161,"4128"
"233",10090,17295,"4233"
"235",10090,12265,"4261"
"237",10090,17350,"4292"
"239",10090,17685,"4436"
"241",10090,17777,"4547"
"243",10090,17868,"4607"
"245",10090,17921,"4647"
"247",10090,17926,"4653"
"249",10090,17939,"4668"
"251",10090,27419,"4669"
"253",10090,19206,"5727"
"255",10090,17986,"4693"
"257",10090,18015,"4763"
"259",10090,18950,"4860"
"260",10090,667034,"4860"
"262",10090,18145,"4864"
"264",10090,53885,"4867"
"266",10090,18241,"4935"
"268",10090,18242,"4942"
"270",10090,320634,"4952"
"272",10090,18478,"5053"
"274",10090,110821,"5095"
"276",10090,18587,"5158"
"278",10090,18624,"5184"
"280",10090,103737,"5193"
"282",10090,18634,"5191"
"284",10090,110094,"5256"
"286",10090,102093,"5257"
"288",10090,18763,"5310"
"290",10090,18772,"5317"
"293",10090,18822,"5351"
"295",10090,54128,"5373"
"297",10090,18736,"5449"
"299",10090,18994,"5456"
"301",10090,19044,"5498"
"303",10090,19128,"5627"
"305",10090,19211,"5728"
"307",10090,19226,"5741"
"309",10090,19228,"5745"
"311",10090,19286,"5805"
"313",10090,19302,"5828"
"315",10090,19305,"5830"
"317",10090,110391,"5860"
"319",10090,19645,"5925"
"321",10090,19133,"5961"
"323",10090,19881,"6094"
"325",10090,20147,"6247"
"327",10090,20238,"6310"
"329",10090,110880,"6329"
"331",10090,24052,"6444"
"333",10090,20495,"6557"
"335",10090,20497,"6559"
"337",10090,20595,"6606	6607"
"340",10090,20617,"6622"
"342",10090,20682,"6662"
"344",10090,20741,"6710"
"346",10090,20845,"6770"
"348",10090,11304,"24"
"350",10090,21452,"6948"
"352",10090,21816,"7051"
"354",10090,21823,"7054"
"356",10090,21824,"7056"
"358",10090,21954,"7137"
"360",10090,22017,"7172"
"362",10090,64930,"7248"
"364",10090,22095,"7253"
"366",10090,22139,"7276"
"368",10090,22247,"7372"
"370",10090,22275,"7389"
"372",10090,22436,"7498"
"374",10090,11634,"326"
"376",10090,238055,"338"
"378",10090,104184,"642"
"380",10090,57279,"788"
"382",10090,12374,"846"
"384",10090,12575,"1026"
"386",10090,12662,"1121"
"388",10090,12751,"1200"
"390",10090,12983,"1439"
"391",10090,12984,"1439"
"393",10090,13871,"2068"
"395",10090,14043,"2132"
"397",10090,74246,"2582"
"399",10090,14667,"2760"
"401",10090,14715,"2798"
"403",10090,14571,"2820"
"405",10090,14913,"2978"
"407",10090,15488,"3295"
"409",10090,15979,"3459"
"411",10090,16184,"3559"
"413",10090,23925,"3792"
"415",10090,16667,"3872"
"417",10090,16997,"4053"
"419",10090,18472,"5048"
"421",10090,17855,"4598"
"423",10090,17970,"4688"
"425",10090,18010,"4758"
"427",10090,18131,"4854"
"429",10090,67041,"5019"
"431",10090,18548,"5122"
"433",10090,225600,"5145"
"435",10090,18810,"5339"
"437",10090,330260,"5445"
"439",10090,19165,"5664"
"441",10090,19373,"5896"
"444",10090,20339,"6401"
"446",10090,20494,"6555"
"448",10090,20655,"6647"
"450",10090,20869,"6794"
"452",10090,211389,"6821"
"454",10090,15378,"3172"
"456",10090,21410,"6928"
"458",10090,21687,"7010"
"460",10090,21832,"7066"
"462",10090,12021,"580"
"464",10090,22160,"7291"
"466",10090,11614,"190"
"468",10090,11657,"213"
"470",10090,11717,"272"
"472",10090,434437,"275"
"474",10090,11821,"353"
"476",10090,22589,"546"
"478",10090,11998,"551"
"480",10090,12260,"713"
"482",10090,12961,"1415"
"484",10090,58992,"2161"
"486",10090,14061,"2147"
"488",10090,14161,"2243"
"490",10090,99571,"2266"
"492",10090,14308,"2488"
"494",10090,56546,""
"495",10090,14573,"2668"
"497",10090,15212,"3074"
"499",10090,16514,"3767"
"501",10090,22359,"7436"
"503",10090,17200,"4158"
"505",10090,17528,"4359"
"507",10090,18416,"5009"
"509",10090,66904,"5096"
"511",10090,18823,"5354"
"513",10090,227099,"5378"
"515",10090,170767,"5994"
"517",10090,20215,"6295"
"519",10090,20388,"6439"
"521",10090,20597,"6609"
"523",10090,21405,"6927"
"525",10090,22059,"7157"
"527",10090,22018,"7173"
"529",10090,22084,"7249"
"531",10090,22094,"7252"
"533",10090,22178,"7306"
"535",10090,22346,"7428"
"537",10090,22371,"7450"
"539",10090,12951,"1406"
"541",10090,14563,"8200"
"543",10090,15122,"3039	3040"
"544",10090,110257,"3039	3040"
"547",10090,230558,"731"
"549",10090,16192,"3568"
"551",10090,16194,"3570"
"553",10090,14129,"2209"
"555",10090,246256,"2214	2215"
"558",10090,16153,"3586"
"560",10090,13136,"1604"
"561",10090,13137,"1604"
"563",10090,16175,"3552"
"565",10090,16176,"3553"
"567",10090,14473,"2638"
"569",10090,16168,"3600"
"571",10090,16183,"3558"
"573",10090,109828,"730"
"575",10090,16189,"3565"
"577",10090,16198,"3578"
"579",10090,12475,"929"
"581",10090,21354,"6890"
"583",10090,21926,"7124"
"585",10090,16992,"4049"
"587",10090,16006,"3484"
"589",10090,16008,"3485"
"591",10090,16009,"3486"
"593",10090,16193,"3569"
"595",10090,15234,"3082"
"597",10090,18127,"4846"
"599",10090,69379,"733"
"601",10090,12505,"960"
"603",10090,16002,"3481"
"605",10090,15458,"3263"
"607",10090,12504,"920"
"609",10090,16000,"3479"
"611",10090,12062,"624"
"613",10090,15985,"974"
"615",10090,268977,"4052"
"617",10090,16155,"3588"
"619",10090,15975,"3454"
"621",10090,17972,"4689"
"623",10090,16409,"3684"
"625",10090,12043,"596"
"627",10090,20656,"6648"
"629",10090,14782,"2936"
"631",10090,22370,"7448"
"633",10090,14103,"356"
"635",10090,16165,"3598"
"637",10090,16156,"3589"
"639",10090,77559,"178"
"641",10090,12772,"729230"
"643",10090,20343,"6402"
"645",10090,21803,"7040"
"647",10090,268860,"18"
"649",10090,11423,"43"
"651",10090,11542,"140"
"653",10090,11550,"146"
"655",10090,11552,"151"
"657",10090,269378,"191"
"659",10090,11684,"239"
"661",10090,11689,"240"
"663",10090,16952,"301"
"665",10090,11928,"476"
"667",10090,54140,"552"
"669",10090,12039,"593"
"671",10090,12061,"623"
"673",10090,109778,"644"
"675",10090,233016,"645"
"677",10090,12257,"706"
"679",10090,12289,"776"
"681",10090,12293,"781"
"683",10090,12299,"786"
"685",10090,12424,"885"
"687",10090,12500,"915"
"689",10090,12501,"916"
"691",10090,12640,"1081"
"693",10090,110834,"1136"
"695",10090,11438,"1137"
"697",10090,11441,"1139"
"699",10090,11443,"1140"
"701",10090,11444,"1141"
"703",10090,12908,"1384"
"705",10090,12918,"1392"
"707",10090,12981,"1437"
"709",10090,12986,"1441"
"711",10090,13166,"1621"
"713",10090,13178,"1633"
"715",10090,13195,"1644"
"717",10090,13370,"1733"
"719",10090,13371,"1734"
"721",10090,13490,"1814"
"723",10090,13856,"2056"
"725",10090,14164,"2246"
"727",10090,14276,"2350"
"729",10090,14459,"2520"
"731",10090,14394,"2554"
"733",10090,14397,"2557"
"735",10090,14402,"2562"
"737",10090,14415,"2571"
"739",10090,14450,"2618"
"741",10090,14456,"2621"
"743",10090,56316,"2677"
"745",10090,14602,"2692"
"747",10090,14714,"2796"
"749",10090,14811,"2903"
"751",10090,14812,"2904"
"753",10090,14813,"2905"
"755",10090,14814,"2906"
"757",10090,14816,"2911"
"759",10090,108069,"2913"
"761",10090,14823,"2918"
"763",10090,14866,"2947"
"765",10090,14870,"2950"
"766",10090,14869,"2950"
"767",10090,100042625,"2950"
"769",10090,54195,"2983"
"771",10090,14923,"2987"
"773",10090,15465,"3269"
"775",10090,15551,"3351"
"777",10090,15561,"3359"
"779",10090,15565,"3362"
"781",10090,15896,"3384"
"783",10090,16004,"3482"
"785",10090,16177,"3554"
"787",10090,16191,"3567"
"789",10090,16196,"3574"
"791",10090,16159,"3592"
"793",10090,16420,"3694"
"795",10090,17311,"4254"
"797",10090,17313,"4256"
"799",10090,18104,"1728"
"801",10090,18105,"4835"
"803",10090,109648,"4852"
"805",10090,18162,"4883"
"807",10090,18166,"4886"
"809",10090,18167,"4887"
"811",10090,54611,"5139"
"813",10090,18576,"5140"
"815",10090,68263,"5162"
"817",10090,18667,"5241"
"819",10090,18778,"5319"
"821",10090,18784,"5322"
